epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,37.1508,1.83124,2.76309,1.51375,0.7859,0.33449,0.66475,0.37068,1.57408,2.42871,1.46674,0.000405983,0.000405983,0.000405983
2,67.3265,1.39923,1.10967,1.24032,0.75974,0.56822,0.83775,0.53482,1.41487,1.97722,1.32524,0.000806361,0.000806361,0.000806361
3,101.175,1.27346,0.92205,1.18076,0.78141,0.75446,0.87577,0.53204,1.36318,1.55903,1.26761,0.00119024,0.00119024,0.00119024
4,134.141,1.23733,0.84129,1.16457,0.96944,0.9196,0.97135,0.67344,1.11326,1.03218,1.15143,0.00117575,0.00117575,0.00117575
5,167.088,1.16131,0.76335,1.13756,0.96726,0.94931,0.96842,0.67898,1.11999,0.77676,1.1678,0.001151,0.001151,0.001151
6,199.788,1.13963,0.71904,1.12104,0.94646,0.95185,0.97167,0.68065,1.07395,0.75842,1.11812,0.00112625,0.00112625,0.00112625
7,233.201,1.11941,0.69809,1.11966,0.9611,0.95227,0.97708,0.65341,1.26393,0.64667,1.23693,0.0011015,0.0011015,0.0011015
8,267.571,1.08948,0.66145,1.10332,0.97643,0.97877,0.98585,0.71601,1.01738,0.559,1.10592,0.00107675,0.00107675,0.00107675
9,300.875,1.09064,0.6377,1.10269,0.97892,0.98113,0.98777,0.71978,1.00284,0.52644,1.09481,0.001052,0.001052,0.001052
10,335.433,1.07334,0.63007,1.09434,0.97492,0.97426,0.98571,0.72218,1.00924,0.5181,1.10601,0.00102725,0.00102725,0.00102725
11,369.319,1.04658,0.6055,1.0816,0.97404,0.97177,0.98737,0.73939,0.9713,0.53217,1.08397,0.0010025,0.0010025,0.0010025
12,402.62,1.03314,0.59447,1.08106,0.97244,0.98038,0.98655,0.73537,0.98339,0.50484,1.08824,0.00097775,0.00097775,0.00097775
